time(ns),x,y,z,qw,qx,qy,qz
1718164069700430080,-61.9156,279.439,14.2184,0.72075,-0.00283616,-0.00699785,-0.693154
1718164069800395008,-61.8965,278.964,14.2214,0.720834,-0.0039534,-0.00534543,-0.693076
1718164069900368896,-61.8815,278.491,14.219,0.720856,-0.00505403,-0.00563158,-0.693044
1718164070000337920,-61.8712,278.016,14.2174,0.720996,-0.00498019,-0.00635681,-0.692893
1718164070100310016,-61.8621,277.537,14.219,0.721152,-0.00324296,-0.00602476,-0.692743
1718164070200297984,-61.8501,277.058,14.2223,0.721162,-0.00207762,-0.00521991,-0.692744
1718164070300282112,-61.8347,276.583,14.2244,0.721233,-0.00232847,-0.00462751,-0.692673
1718164070400263936,-61.8196,276.111,14.2258,0.721445,-0.00328062,-0.00488663,-0.692446
1718164070500248064,-61.807,275.641,14.2276,0.72166,-0.00382579,-0.00586995,-0.692212
1718164070600235008,-61.7938,275.171,14.2268,0.721715,-0.00476995,-0.00688985,-0.69214
1718164070700228096,-61.7787,274.701,14.2257,0.721794,-0.00556439,-0.00723279,-0.692048
1718164070800224000,-61.7639,274.231,14.2261,0.722081,-0.00581366,-0.00725031,-0.691746
1718164070900222976,-61.7501,273.759,14.2288,0.722277,-0.00518129,-0.00693585,-0.691549
1718164071000222976,-61.7355,273.286,14.2332,0.722397,-0.00412665,-0.00577377,-0.691442
1718164071100217088,-61.7216,272.815,14.2373,0.722496,-0.00319509,-0.0053367,-0.691348
1718164071200209920,-61.7074,272.348,14.2396,0.72261,-0.00348521,-0.00578081,-0.691223
1718164071300211968,-61.692,271.881,14.2409,0.722624,-0.00379534,-0.00598854,-0.691204
1718164071400194048,-61.676,271.411,14.2413,0.722657,-0.00391818,-0.00555113,-0.691173
1718164071500166912,-61.6601,270.942,14.2408,0.722596,-0.00422029,-0.00548894,-0.691236
1718164071600133120,-61.6444,270.474,14.2409,0.722571,-0.00476414,-0.00569502,-0.691257
1718164071700092928,-61.6296,270.003,14.2436,0.722639,-0.00470539,-0.00563116,-0.691187
1718164071800066048,-61.6158,269.532,14.247,0.722636,-0.00429052,-0.00555824,-0.691193
1718164071900046080,-61.601,269.062,14.248,0.722531,-0.00469969,-0.00594556,-0.691297
1718164072000013056,-61.5858,268.593,14.2479,0.722523,-0.00529335,-0.00644873,-0.691296
1718164072099979008,-61.5714,268.122,14.2494,0.72257,-0.00536831,-0.00667785,-0.691245
